,acoustic_data,time_to_failure
4400000,7,0.326399
4400001,7,0.326399
4400002,3,0.326399
4400003,5,0.326399
4400004,6,0.326399
4400005,3,0.326399
4400006,0,0.326399
4400007,4,0.326399
4400008,-2,0.326399
4400009,6,0.326399
4400010,3,0.326399
4400011,6,0.326399
4400012,4,0.326399
4400013,8,0.32639897
4400014,6,0.32639897
4400015,4,0.32639897
4400016,5,0.32639897
4400017,4,0.32639897
4400018,2,0.32639897
4400019,7,0.32639897
4400020,10,0.32639897
4400021,5,0.32639897
4400022,2,0.32639897
4400023,7,0.32639897
4400024,6,0.32639897
4400025,8,0.32639897
4400026,5,0.32639897
4400027,2,0.32639897
4400028,3,0.32639897
4400029,6,0.32639897
4400030,7,0.32639897
4400031,6,0.32639897
4400032,4,0.32639897
4400033,1,0.32639897
4400034,7,0.32639897
4400035,4,0.32639897
4400036,3,0.32639897
4400037,6,0.32639897
4400038,1,0.32639897
4400039,1,0.32639897
4400040,6,0.32639894
4400041,4,0.32639894
4400042,4,0.32639894
4400043,8,0.32639894
4400044,5,0.32639894
4400045,5,0.32639894
4400046,2,0.32639894
4400047,2,0.32639894
4400048,2,0.32639894
4400049,8,0.32639894
4400050,6,0.32639894
4400051,7,0.32639894
4400052,-1,0.32639894
4400053,3,0.32639894
4400054,5,0.32639894
4400055,6,0.32639894
4400056,3,0.32639894
4400057,2,0.32639894
4400058,2,0.32639894
4400059,3,0.32639894
4400060,6,0.32639894
4400061,6,0.32639894
4400062,10,0.32639894
4400063,5,0.32639894
4400064,6,0.32639894
4400065,6,0.32639894
4400066,1,0.32639894
4400067,0,0.3263989
4400068,10,0.3263989
4400069,9,0.3263989
4400070,5,0.3263989
4400071,4,0.3263989
4400072,3,0.3263989
4400073,6,0.3263989
4400074,4,0.3263989
4400075,6,0.3263989
4400076,4,0.3263989
4400077,4,0.3263989
4400078,7,0.3263989
4400079,3,0.3263989
4400080,6,0.3263989
4400081,10,0.3263989
4400082,4,0.3263989
4400083,1,0.3263989
4400084,4,0.3263989
4400085,6,0.3263989
4400086,7,0.3263989
4400087,4,0.3263989
4400088,3,0.3263989
4400089,4,0.3263989
4400090,5,0.3263989
4400091,7,0.3263989
4400092,8,0.3263989
4400093,7,0.3263989
4400094,6,0.3263989
4400095,2,0.32639888
4400096,4,0.32639888
4400097,9,0.32639888
4400098,3,0.32639888
4400099,0,0.32639888
4400100,8,0.32639888
4400101,8,0.32639888
4400102,8,0.32639888
4400103,6,0.32639888
4400104,7,0.32639888
4400105,4,0.32639888
4400106,4,0.32639888
4400107,2,0.32639888
4400108,5,0.32639888
4400109,9,0.32639888
4400110,2,0.32639888
4400111,3,0.32639888
4400112,8,0.32639888
4400113,7,0.32639888
4400114,4,0.32639888
4400115,4,0.32639888
4400116,5,0.32639888
4400117,4,0.32639888
4400118,3,0.32639888
4400119,1,0.32639888
4400120,2,0.32639888
4400121,1,0.32639888
4400122,5,0.32639885
4400123,5,0.32639885
4400124,5,0.32639885
4400125,8,0.32639885
4400126,5,0.32639885
4400127,2,0.32639885
4400128,3,0.32639885
4400129,4,0.32639885
4400130,4,0.32639885
4400131,3,0.32639885
4400132,5,0.32639885
4400133,6,0.32639885
4400134,2,0.32639885
4400135,5,0.32639885
4400136,6,0.32639885
4400137,4,0.32639885
4400138,5,0.32639885
4400139,4,0.32639885
4400140,11,0.32639885
4400141,9,0.32639885
4400142,3,0.32639885
4400143,2,0.32639885
4400144,9,0.32639885
4400145,9,0.32639885
4400146,2,0.32639885
4400147,2,0.32639885
4400148,5,0.32639885
4400149,5,0.32639882
4400150,2,0.32639882
4400151,-1,0.32639882
4400152,5,0.32639882
4400153,3,0.32639882
4400154,2,0.32639882
4400155,2,0.32639882
4400156,4,0.32639882
4400157,6,0.32639882
4400158,7,0.32639882
4400159,12,0.32639882
4400160,5,0.32639882
4400161,7,0.32639882
4400162,5,0.32639882
4400163,4,0.32639882
4400164,5,0.32639882
4400165,4,0.32639882
4400166,4,0.32639882
4400167,10,0.32639882
4400168,8,0.32639882
4400169,4,0.32639882
4400170,-1,0.32639882
4400171,3,0.32639882
4400172,9,0.32639882
4400173,8,0.32639882
4400174,6,0.32639882
4400175,8,0.32639882
4400176,3,0.3263988
4400177,4,0.3263988
4400178,3,0.3263988
4400179,0,0.3263988
4400180,2,0.3263988
4400181,4,0.3263988
4400182,4,0.3263988
4400183,10,0.3263988
4400184,6,0.3263988
4400185,5,0.3263988
4400186,4,0.3263988
4400187,4,0.3263988
4400188,3,0.3263988
4400189,3,0.3263988
4400190,5,0.3263988
4400191,4,0.3263988
4400192,5,0.3263988
4400193,4,0.3263988
4400194,8,0.3263988
4400195,4,0.3263988
4400196,3,0.3263988
4400197,2,0.3263988
4400198,0,0.3263988
4400199,4,0.3263988
4400200,3,0.3263988
4400201,5,0.3263988
4400202,6,0.3263988
4400203,8,0.32639876
4400204,7,0.32639876
4400205,5,0.32639876
4400206,5,0.32639876
4400207,4,0.32639876
4400208,5,0.32639876
4400209,8,0.32639876
4400210,6,0.32639876
4400211,4,0.32639876
4400212,4,0.32639876
4400213,7,0.32639876
4400214,4,0.32639876
4400215,2,0.32639876
4400216,5,0.32639876
4400217,5,0.32639876
4400218,4,0.32639876
4400219,3,0.32639876
4400220,6,0.32639876
4400221,5,0.32639876
4400222,5,0.32639876
4400223,7,0.32639876
4400224,5,0.32639876
4400225,3,0.32639876
4400226,2,0.32639876
4400227,5,0.32639876
4400228,11,0.32639876
4400229,9,0.32639876
4400230,3,0.32639873
4400231,0,0.32639873
4400232,3,0.32639873
4400233,1,0.32639873
4400234,1,0.32639873
4400235,6,0.32639873
4400236,-1,0.32639873
4400237,1,0.32639873
4400238,6,0.32639873
4400239,4,0.32639873
4400240,3,0.32639873
4400241,5,0.32639873
4400242,7,0.32639873
4400243,4,0.32639873
4400244,1,0.32639873
4400245,3,0.32639873
4400246,4,0.32639873
4400247,6,0.32639873
4400248,6,0.32639873
4400249,5,0.32639873
4400250,2,0.32639873
4400251,3,0.32639873
4400252,4,0.32639873
4400253,0,0.32639873
4400254,4,0.32639873
4400255,2,0.32639873
4400256,7,0.32639873
4400257,7,0.3263987
4400258,6,0.3263987
4400259,13,0.3263987
4400260,7,0.3263987
4400261,2,0.3263987
4400262,4,0.3263987
4400263,6,0.3263987
4400264,8,0.3263987
4400265,3,0.3263987
4400266,6,0.3263987
4400267,4,0.3263987
4400268,6,0.3263987
4400269,4,0.3263987
4400270,4,0.3263987
4400271,10,0.3263987
4400272,3,0.3263987
4400273,0,0.3263987
4400274,3,0.3263987
4400275,6,0.3263987
4400276,5,0.3263987
4400277,5,0.3263987
4400278,7,0.3263987
4400279,7,0.3263987
4400280,5,0.3263987
4400281,0,0.3263987
4400282,1,0.3263987
4400283,1,0.3263987
4400284,8,0.32639867
4400285,5,0.32639867
4400286,3,0.32639867
4400287,4,0.32639867
4400288,11,0.32639867
4400289,6,0.32639867
4400290,4,0.32639867
4400291,2,0.32639867
4400292,4,0.32639867
4400293,4,0.32639867
4400294,8,0.32639867
4400295,10,0.32639867
4400296,11,0.32639867
4400297,9,0.32639867
4400298,5,0.32639867
4400299,7,0.32639867
4400300,3,0.32639867
4400301,-3,0.32639867
4400302,-1,0.32639867
4400303,-2,0.32639867
4400304,-8,0.32639867
4400305,-4,0.32639867
4400306,-2,0.32639867
4400307,-1,0.32639867
4400308,-2,0.32639867
4400309,0,0.32639867
4400310,3,0.32639867
4400311,6,0.32639864
4400312,12,0.32639864
4400313,18,0.32639864
4400314,22,0.32639864
4400315,24,0.32639864
4400316,25,0.32639864
4400317,25,0.32639864
4400318,21,0.32639864
4400319,19,0.32639864
4400320,12,0.32639864
4400321,10,0.32639864
4400322,4,0.32639864
4400323,3,0.32639864
4400324,4,0.32639864
4400325,-1,0.32639864
4400326,-3,0.32639864
4400327,-8,0.32639864
4400328,-9,0.32639864
4400329,-12,0.32639864
4400330,-10,0.32639864
4400331,-13,0.32639864
4400332,-13,0.32639864
4400333,-11,0.32639864
4400334,-6,0.32639864
4400335,9,0.32639864
4400336,20,0.32639864
4400337,26,0.32639864
4400338,25,0.3263986
4400339,32,0.3263986
4400340,30,0.3263986
4400341,27,0.3263986
4400342,21,0.3263986
4400343,16,0.3263986
4400344,1,0.3263986
4400345,-5,0.3263986
4400346,-12,0.3263986
4400347,-9,0.3263986
4400348,-7,0.3263986
4400349,2,0.3263986
4400350,8,0.3263986
4400351,9,0.3263986
4400352,17,0.3263986
4400353,8,0.3263986
4400354,6,0.3263986
4400355,1,0.3263986
4400356,-4,0.3263986
4400357,-9,0.3263986
4400358,-16,0.3263986
4400359,-18,0.3263986
4400360,-18,0.3263986
4400361,-12,0.3263986
4400362,-11,0.3263986
4400363,-2,0.3263986
4400364,7,0.3263986
4400365,13,0.32639858
4400366,21,0.32639858
4400367,25,0.32639858
4400368,27,0.32639858
4400369,34,0.32639858
4400370,28,0.32639858
4400371,20,0.32639858
4400372,19,0.32639858
4400373,10,0.32639858
4400374,-1,0.32639858
4400375,-12,0.32639858
4400376,-17,0.32639858
4400377,-17,0.32639858
4400378,-17,0.32639858
4400379,-7,0.32639858
4400380,-1,0.32639858
4400381,3,0.32639858
4400382,10,0.32639858
4400383,16,0.32639858
4400384,19,0.32639858
4400385,21,0.32639858
4400386,16,0.32639858
4400387,10,0.32639858
4400388,13,0.32639858
4400389,7,0.32639858
4400390,3,0.32639858
4400391,6,0.32639858
4400392,5,0.32639858
4400393,9,0.32639855
4400394,12,0.32639855
4400395,8,0.32639855
4400396,2,0.32639855
4400397,1,0.32639855
4400398,4,0.32639855
4400399,4,0.32639855
4400400,6,0.32639855
4400401,7,0.32639855
4400402,6,0.32639855
4400403,7,0.32639855
4400404,4,0.32639855
4400405,-3,0.32639855
4400406,-7,0.32639855
4400407,-15,0.32639855
4400408,-13,0.32639855
4400409,-10,0.32639855
4400410,-10,0.32639855
4400411,-2,0.32639855
4400412,10,0.32639855
4400413,19,0.32639855
4400414,25,0.32639855
4400415,20,0.32639855
4400416,21,0.32639855
4400417,16,0.32639855
4400418,11,0.32639855
4400419,7,0.32639855
4400420,1,0.32639852
4400421,-3,0.32639852
4400422,-6,0.32639852
4400423,-6,0.32639852
4400424,-4,0.32639852
4400425,8,0.32639852
4400426,12,0.32639852
4400427,12,0.32639852
4400428,14,0.32639852
4400429,14,0.32639852
4400430,13,0.32639852
4400431,9,0.32639852
4400432,5,0.32639852
4400433,1,0.32639852
4400434,-6,0.32639852
4400435,0,0.32639852
4400436,-3,0.32639852
4400437,-1,0.32639852
4400438,-5,0.32639852
4400439,-4,0.32639852
4400440,0,0.32639852
4400441,2,0.32639852
4400442,6,0.32639852
4400443,7,0.32639852
4400444,12,0.32639852
4400445,11,0.32639852
4400446,19,0.32639852
4400447,21,0.3263985
4400448,17,0.3263985
4400449,12,0.3263985
4400450,1,0.3263985
4400451,-3,0.3263985
4400452,-11,0.3263985
4400453,-10,0.3263985
4400454,-11,0.3263985
4400455,-8,0.3263985
4400456,-8,0.3263985
4400457,-12,0.3263985
4400458,-7,0.3263985
4400459,1,0.3263985
4400460,3,0.3263985
4400461,7,0.3263985
4400462,7,0.3263985
4400463,17,0.3263985
4400464,24,0.3263985
4400465,31,0.3263985
4400466,31,0.3263985
4400467,30,0.3263985
4400468,21,0.3263985
4400469,16,0.3263985
4400470,2,0.3263985
4400471,-4,0.3263985
4400472,-11,0.3263985
4400473,-20,0.3263985
4400474,-25,0.32639846
4400475,-25,0.32639846
4400476,-19,0.32639846
4400477,-5,0.32639846
4400478,6,0.32639846
4400479,15,0.32639846
4400480,31,0.32639846
4400481,36,0.32639846
4400482,34,0.32639846
4400483,29,0.32639846
4400484,26,0.32639846
4400485,23,0.32639846
4400486,13,0.32639846
