,acoustic_data,time_to_failure
188773329,4,7.761899
263070251,11,11.629099
281477836,13,6.8474994
214171637,7,1.1639999
161176497,7,6.875097
320165104,4,4.7040987
285687569,0,5.7547956
462006959,7,8.777997
533914222,6,13.4176
615619649,7,1.6540965
311179855,6,7.038497
96679668,-14,2.077698
585742147,5,9.414898
65801060,10,10.099096
278135394,-21,7.715699
343402196,6,8.305998
67972341,3,9.535196
597001162,1,6.4898987
74330835,3,7.882799
228234080,4,4.570399
188962075,10,7.7128987
502369778,8,6.860496
245148630,5,0.1770966
564884996,6,5.3726983
352482340,7,5.947199
565884779,2,5.1130977
369632724,10,1.4921982
379674786,6,10.3103
508518249,4,5.263396
224191122,3,5.620499
321363080,4,4.3933964
538893727,4,12.124796
492879805,6,0.75769997
459318187,5,0.6469989
427448778,11,8.925997
225620099,2,5.2492
363718522,0,3.0285978
467594516,-1,7.326796
334854811,0,0.88859695
511170241,6,4.573898
499343373,7,7.6457
617429299,2,1.1837972
322674979,27,4.0518994
130207937,8,2.2247996
303494242,1,1.1284987
416962957,7,0.6247972
551605442,8,8.822199
183709537,-12,1.0219957
233026674,11,3.3254986
355424750,2,5.183197
164877436,-4,5.9131985
509516062,1,5.0037975
508622072,2,5.2356987
381037776,-14,9.957096
535217355,3,13.079199
8848027,3,10.711899
537687384,5,12.437598
308559433,7,7.719396
513912337,4,3.8620958
432010474,8,7.7406983
387025148,3,8.401498
353152942,5,5.7736955
545563372,4,10.391599
387247998,9,8.344095
27253325,4,5.931397
205559003,1,3.4015987
458728012,0,0.8001993
59947130,6,11.619597
611388061,2,2.753197
505891901,7,5.9453964
333634298,0,1.2056968
522519855,7,1.6255984
18042192,5,8.324296
569493569,6,4.175698
315920067,3,5.807396
614017854,-2,2.0700967
175185013,7,3.2361965
495538938,3,0.067099065
349535068,0,6.7131968
448458859,5,3.4676998
341579978,6,8.779497
34109210,14,4.150298
604248413,9,4.6076975
326834653,8,2.9718971
619447395,4,0.65929866
192416634,9,6.8159966
293793855,8,3.6481
91933169,7,3.310897
195089513,7,6.1211987
242734679,2,0.80379814
292581388,4,3.9629998
115555866,9,6.031796
258039778,2,12.9357
212115686,1,1.6981997
325561415,4,3.3027964
229178840,5,4.325596
557985564,7,7.165496
592690099,4,7.6102967
319549390,5,4.8637
223551684,1,5.7864995
181062176,5,1.7093971
231558394,7,3.7074964
189286868,7,7.628897
342740352,2,8.478396
51810179,3,13.733696
591328574,2,7.9635983
325923585,5,3.2080991
535807527,2,12.925998
378667536,6,10.5721
59096791,8,11.840896
544339963,2,10.709698
520473045,2,2.157597
347099858,5,7.3452992
291098389,5,4.3491955
206687678,6,3.1089962
401510111,2,4.639196
183455349,1,1.0879959
165636457,-2,5.7163973
568922560,1,4.3235993
97493677,21,1.8659992
108636988,3,7.828897
163929616,8,6.160096
447011723,4,3.8442967
