,time_to_failure
105007,2.3580708503723145
105008,2.357858657836914
105009,2.3576254844665527
105010,2.3574132919311523
105011,2.357180118560791
105012,2.3569467067718506
105013,2.35673451423645
105014,2.3565011024475098
105015,2.3562676906585693
105016,2.356055498123169
105017,2.3558220863342285
105018,2.355588436126709
105019,2.3553762435913086
105020,2.355142593383789
105021,2.3549304008483887
105022,2.354696750640869
105023,2.3544631004333496
105024,2.35425066947937
105025,2.3540170192718506
105026,2.353783369064331
105027,2.3535709381103516
105028,2.353337287902832
105029,2.3531033992767334
105030,2.352890968322754
105031,2.3526570796966553
105032,2.3522117137908936
105033,2.351977825164795
105034,2.3517651557922363
105035,2.3515312671661377
105036,2.351297378540039
105037,2.3510847091674805
105038,2.350850820541382
105039,2.350616693496704
105040,2.3504040241241455
105041,2.3501698970794678
105042,2.34993577003479
105043,2.3497231006622314
105044,2.3494889736175537
105045,2.349276304244995
105046,2.3490419387817383
105047,2.3488078117370605
105048,2.348594903945923
105049,2.348360776901245
105050,2.3481264114379883
105051,2.3479135036468506
105052,2.3476791381835938
105053,2.347445011138916
105054,2.347231864929199
105055,2.3469974994659424
105056,2.3467631340026855
105057,2.3465499877929688
105058,2.346315622329712
105059,2.346102476119995
105060,2.3458681106567383
105061,2.3456335067749023
105062,2.3454203605651855
105063,2.3451857566833496
105064,2.3449511528015137
105065,2.344738006591797
105066,2.344503402709961
105067,2.344268798828125
105068,2.344055414199829
105069,2.343820810317993
105070,2.3436074256896973
105071,2.3433728218078613
105072,2.3431379795074463
105073,2.3429245948791504
105074,2.342456102371216
105075,2.342242479324341
105076,2.342007637023926
105077,2.3417727947235107
105078,2.3415591716766357
105079,2.3413243293762207
105080,2.3410892486572266
105081,2.3408756256103516
105082,2.3406407833099365
105083,2.3404271602630615
105084,2.3401920795440674
105085,2.3399569988250732
105086,2.3397433757781982
105087,2.339508295059204
105088,2.339272975921631
105089,2.3390591144561768
105090,2.3388240337371826
105091,2.3385889530181885
105092,2.3383750915527344
105093,2.338139772415161
105094,2.337925910949707
105095,2.337690591812134
105096,2.3374552726745605
105097,2.3372414112091064
105098,2.337006092071533
105099,2.33677077293396
105100,2.3365566730499268
105101,2.3363211154937744
105102,2.336085796356201
105103,2.335871696472168
105104,2.3356363773345947
105105,2.3354008197784424
105106,2.33518648147583
105107,2.3349509239196777
105108,2.3347368240356445
105109,2.334501266479492
105110,2.3342654705047607
105111,2.3340513706207275
105112,2.333815813064575
105113,2.3335800170898438
105114,2.3333656787872314
105115,2.332895278930664
105116,2.3326809406280518
105117,2.3324451446533203
105118,2.332230567932129
105119,2.3319947719573975
